Time,7sed_disp,voltmeter,silver_switch,cont dial,threestate,slight,rlight,glight
2020-05-24 00:14:13.493249,,[7.5],On,[2.23485586],right,Off,Off,Off
2020-05-24 00:14:13.781788,,[7.5],On,[2.27425194],right,Off,Off,Off
2020-05-24 00:14:14.125455,,[7.5],On,[2.18260765],right,Off,Off,Off
2020-05-24 00:14:14.539428,,[7.5],On,[2.09152264],right,Off,Off,Off
2020-05-24 00:14:14.973991,,[7.5],On,[2.23943901],left,Off,Off,Off
2020-05-24 00:14:15.292000,,[7.5],On,[2.25408808],right,Off,Off,Off
2020-05-24 00:14:15.639860,,[7.5],On,[2.13981289],left,Off,Off,Off
2020-05-24 00:14:15.962919,,[7.5],On,[2.13509178],left,Off,Off,Off
2020-05-24 00:14:16.348418,,[7.5],On,[2.1929601],right,Off,Off,Off
2020-05-24 00:14:16.741653,,[7.5],On,[2.18830617],right,Off,Off,Off
2020-05-24 00:14:17.026980,,[7.5],On,[2.23943901],right,Off,Off,Off
2020-05-24 00:14:17.304339,,[7.5],On,[2.08497387],right,Off,Off,Off
2020-05-24 00:14:17.749295,,[7.5],On,[2.08946906],right,Off,Off,Off
2020-05-24 00:14:18.031658,,[7.5],On,[2.12511508],right,Off,Off,Off
2020-05-24 00:14:18.398263,,[3.75950885],On,[2.2734801],left,Off,Off,Off
2020-05-24 00:14:18.806677,,[3.75950885],On,[2.29133924],left,On,On,Off
2020-05-24 00:14:19.144282,,[3.75950885],On,[2.24527995],left,Off,Off,Off
2020-05-24 00:14:19.534164,,[3.75950885],On,[2.33203337],left,On,On,Off
2020-05-24 00:14:19.948394,,[3.75950885],On,[2.25949648],left,On,On,Off
2020-05-24 00:14:20.245120,,[3.75950885],On,[2.2734801],left,On,On,Off
2020-05-24 00:14:20.606606,,[3.75950885],On,[2.33203337],left,On,On,Off
2020-05-24 00:14:20.947684,,[3.75950885],On,[2.20722834],left,On,On,Off
2020-05-24 00:14:21.297360,,[3.75950885],On,[2.30411784],left,On,On,Off
2020-05-24 00:14:21.694181,,[3.75950885],On,[2.26616096],left,On,On,Off
2020-05-24 00:14:22.095966,,[3.75950885],On,[2.29681757],left,On,On,Off
2020-05-24 00:14:22.420536,,[3.75950885],On,[2.14871682],left,Off,Off,Off
2020-05-24 00:14:22.785550,,[7.5],On,[2.29681757],left,On,On,Off
2020-05-24 00:14:23.083875,,[6.12422037],On,[2.23287773],left,Off,Off,Off
2020-05-24 00:14:23.467830,,[6.12422037],On,[2.23941633],left,Off,Off,Off
2020-05-24 00:14:23.851545,,[7.5],On,[2.23941633],left,Off,On,Off
2020-05-24 00:14:24.243059,,[7.5],On,[2.25132179],left,Off,Off,Off
2020-05-24 00:14:24.566122,,[7.5],On,[2.30411784],left,Off,Off,Off
2020-05-24 00:14:24.959942,,[7.5],On,[2.29423247],left,On,On,Off
2020-05-24 00:14:25.352558,,[7.5],On,[2.38126331],left,Off,On,Off
2020-05-24 00:14:25.680427,,[3.28874159],On,[2.23941633],right,Off,Off,Off
2020-05-24 00:14:26.070859,,[4.67251706],On,[2.23941633],left,On,On,Off
2020-05-24 00:14:26.488044,,[4.67251706],On,[2.31736459],left,On,On,On
2020-05-24 00:14:26.801362,,[7.23760155],On,[2.26739544],left,On,On,On
2020-05-24 00:14:27.245369,,[5.99721539],On,[2.12094582],left,On,On,On
2020-05-24 00:14:27.643465,,[5.96407866],On,[2.20458306],left,On,On,On
2020-05-24 00:14:27.926543,,[6.63531029],On,[2.1929601],left,On,On,On
